,t,y,v_{y},v_{x},x
309,62.2,0.933520953,-0.058400108,0.000153366,0.444743028
310,62.4,0.920821605,-0.061553741,0.003305785,0.445127099
311,62.6,0.908899457,-0.067205874,0.014671391,0.446065342
312,62.8,0.893939256,-0.07170104,0.008838039,0.450995655
313,63,0.880219041,-0.075659561,-0.000679178,0.449600558
314,63.2,0.863675431,-0.073178076,0.013611639,0.450723984
315,63.4,0.85094781,-0.056895219,0.010199463,0.455045213
316,63.6,0.840917343,-0.05707644,0.003823382,0.454803769
317,63.8,0.828117234,-0.051542706,0.012288512,0.456574566
318,64,0.820300261,-0.061074372,0.013550466,0.459719174
319,64.2,0.803687485,-0.062048632,0.025460287,0.461994752
320,64.4,0.795480808,-0.053959798,0.024089393,0.469903288
321,64.6,0.782103566,-0.049639633,0.00559129,0.471630509
322,64.8,0.775624955,-0.048665195,0.001037652,0.472139804
323,65,0.762637488,-0.060180395,-2.63E-05,0.47204557
324,65.2,0.751552797,-0.058775115,0.007583816,0.47212928
325,65.4,0.739127442,-0.053161348,0.0088732,0.475079097
326,65.6,0.730288258,-0.052388107,0.008268504,0.47567856
327,65.8,0.718172199,-0.073154227,0.001416035,0.478386499
328,66,0.701026567,-0.083191173,-0.002621823,0.476244974
329,66.2,0.68489573,-0.070459348,0.013234321,0.477337769
330,66.4,0.672842828,-0.052771003,0.018274855,0.481538703
331,66.6,0.663787329,-0.053113357,-0.000149135,0.484647711
332,66.8,0.651597486,-0.06358944,-0.002621212,0.481479049
333,67,0.638351553,-0.053704084,0.019916699,0.483599227
334,67.2,0.630115852,-0.054268018,0.026760481,0.489445728
335,67.4,0.616644346,-0.076321308,0.021241786,0.494303419
336,67.6,0.599587329,-0.071176956,0.020327558,0.497942443
337,67.8,0.588173563,-0.054916106,0.017080407,0.502434442
338,68,0.577620886,-0.057708622,0.014774072,0.504774606
339,68.2,0.565090115,-0.064806049,0.00180183,0.508344071
340,68.4,0.551698467,-0.065203438,-0.007881056,0.505495338
341,68.6,0.539008739,-0.067372028,0.012074314,0.505191649
342,68.8,0.524749655,-0.044419062,-0.024142508,0.510325063
343,69,0.521241115,-0.084936567,0.025087453,0.495534646
344,69.2,0.490775029,-0.108085086,0.0603467,0.520360045
345,69.4,0.47800708,-0.067231282,0.013779829,0.519673326
346,69.6,0.463882516,-0.073698434,0.003144646,0.525871976
347,69.8,0.448527707,-0.077060334,0.006384555,0.520931184
348,70,0.433058382,-0.071923744,0.024394809,0.528425798
349,70.2,0.419758209,-0.055670838,0.010009597,0.530689108
350,70.4,0.410790047,-0.052725206,0.008972184,0.532429637
351,70.6,0.398668127,-0.06775931,-7.29E-05,0.534277981
352,70.8,0.383686323,-0.073331044,-0.008937982,0.53240046
353,71,0.369335709,-0.075137854,-0.016155054,0.530702789
354,71.2,0.353631181,-0.07231073,-0.006803451,0.525938439
355,71.4,0.340411417,-0.06240382,0.000415293,0.527981408
356,71.6,0.328669653,-0.061785712,-0.005806153,0.526104556
357,71.8,0.315697132,-0.051096941,-0.007385469,0.525658947
358,72,0.308230877,-0.052637922,-0.008249113,0.523150368
359,72.2,0.294641964,-0.084343675,-0.006592512,0.522359302
360,72.4,0.274493407,-0.089621366,-0.015645074,0.520513363
361,72.6,0.258793417,-0.065141056,-0.010867004,0.516101273
362,72.8,0.248436985,-0.063961016,-0.008722042,0.516166562
363,73,0.233209011,-0.066900382,-0.022329145,0.512612456
364,73.2,0.221676832,-0.060156032,-0.037313248,0.507234904
365,73.4,0.209146598,-0.063074628,-0.018436915,0.497687156
366,73.6,0.196446981,-0.058557246,0.00691591,0.499860138
367,73.8,0.1857237,-0.061486039,-0.006651331,0.50045352
368,74,0.171852565,-0.073707448,-0.018579791,0.497199606
369,74.2,0.15624072,-0.088451397,-0.007237411,0.493021604
370,74.4,0.136472006,-0.08443924,0.002238979,0.494304641
371,74.6,0.122465025,-0.063000327,-0.000745355,0.493917196
372,74.8,0.111271876,-0.061810089,0.007868038,0.494006499
373,75,0.097740989,-0.066990017,0.007066693,0.497064411
374,75.2,0.084475869,-0.057980172,0.006627281,0.496833177
375,75.4,0.07454892,-0.057728678,0.008321202,0.499715323
376,75.6,0.061384398,-0.053489554,-0.00527876,0.500161658
377,75.8,0.053153099,-0.040985493,-0.00510914,0.497603819
378,76,0.044990201,-0.051675609,-0.003241694,0.498118002
379,76.2,0.032482855,-0.062600675,-0.009122796,0.496307141
380,76.4,0.01994993,-0.062626965,-0.011394531,0.494468883
